Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
NVIDIA GeForce GTX 690,GPU,2012-05-03,28.0,300.0,294.0,294,3540.0,915.0,TSMC,NVIDIA
NVIDIA NVS 510,GPU,2012-10-23,28.0,35.0,118.0,118,1270.0,797.0,TSMC,NVIDIA
NVIDIA NVS 5200M,GPU,2012-06-01,28.0,25.0,116.0,116,585.0,625.0,TSMC,NVIDIA
NVIDIA Quadro 410,GPU,2012-08-07,28.0,38.0,118.0,118,1270.0,706.0,TSMC,NVIDIA
NVIDIA Quadro K1000M,GPU,2012-06-01,28.0,45.0,118.0,118,1270.0,850.0,TSMC,NVIDIA
NVIDIA Quadro K2000M,GPU,2012-06-01,28.0,55.0,118.0,118,1270.0,745.0,TSMC,NVIDIA
NVIDIA Quadro K3000M,GPU,2012-06-01,28.0,75.0,294.0,294,3540.0,654.0,TSMC,NVIDIA
NVIDIA Quadro K4000M,GPU,2012-06-01,28.0,100.0,294.0,294,3540.0,601.0,TSMC,NVIDIA
NVIDIA Quadro K5000,GPU,2012-08-17,28.0,122.0,294.0,294,3540.0,706.0,TSMC,NVIDIA
NVIDIA Quadro K5000 Mac Edition,GPU,2012-08-07,28.0,122.0,294.0,294,3540.0,706.0,TSMC,NVIDIA
NVIDIA Quadro K5000M,GPU,2012-08-07,28.0,100.0,294.0,294,3540.0,601.0,TSMC,NVIDIA
NVIDIA Quadro K500M,GPU,2012-06-01,28.0,35.0,118.0,118,1270.0,709.0,TSMC,NVIDIA
NVIDIA Tesla K10,GPU,2012-05-01,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA Tesla K20X,GPU,2012-11-12,28.0,235.0,561.0,561,7080.0,732.0,TSMC,NVIDIA
NVIDIA Tesla K20Xm,GPU,2012-11-12,28.0,235.0,561.0,561,7080.0,732.0,TSMC,NVIDIA
NVIDIA Tesla K20c,GPU,2012-11-12,28.0,225.0,561.0,561,7080.0,706.0,TSMC,NVIDIA
